iter	Passed	Remaining
714	2153	858
715	2154	854
716	2156	851
717	2158	847
718	2159	844
719	2161	840
720	2162	836
721	2163	832
722	2164	829
723	2165	825
724	2166	821
725	2167	818
726	2170	814
727	2172	811
728	2173	808
729	2174	804
730	2176	800
731	2177	797
732	2179	793
733	2180	790
734	2182	786
735	2183	783
736	2186	780
737	2187	776
738	2189	773
739	2190	769
740	2191	766
741	2192	762
742	2194	758
743	2195	755
744	2196	751
745	2197	748
746	2199	745
747	2202	741
748	2203	738
749	2204	734
750	2205	731
751	2206	727
752	2207	724
753	2208	720
754	2210	717
755	2211	713
756	2212	710
757	2214	707
758	2216	703
759	2217	700
760	2218	696
761	2219	693
762	2220	689
763	2221	686
764	2223	682
765	2224	679
766	2225	676
767	2226	672
768	2227	669
769	2229	665
770	2231	662
771	2232	659
772	2234	656
773	2235	652
774	2236	649
775	2237	645
776	2238	642
777	2239	639
778	2240	635
779	2242	632
780	2244	629
781	2246	626
782	2247	622
783	2248	619
784	2249	616
785	2250	612
786	2251	609
787	2253	606
788	2254	602
789	2255	599
790	2256	596
791	2259	593
792	2260	590
793	2261	586
794	2262	583
795	2264	580
796	2265	576
797	2266	573
798	2267	570
799	2268	567
800	2269	563
801	2271	560
802	2272	557
803	2274	554
804	2276	551
805	2278	548
806	2279	545
807	2281	542
808	2282	538
809	2283	535
810	2285	532
811	2286	529
812	2288	526
813	2290	523
814	2292	520
815	2293	517
816	2295	514
817	2296	510
818	2297	507
819	2298	504
820	2299	501
821	2300	498
822	2303	495
823	2305	492
824	2306	489
825	2308	486
826	2309	483
827	2310	479
828	2311	476
829	2312	473
830	2313	470
831	2314	467
832	2316	464
833	2319	461
834	2321	458
835	2323	455
836	2324	452
837	2325	449
838	2326	446
839	2328	443
840	2329	440
841	2330	437
842	2332	434
843	2334	431
844	2335	428
845	2337	425
846	2338	422
847	2339	419
848	2341	416
849	2342	413
850	2343	410
851	2344	407
852	2345	404
853	2347	401
854	2349	398
855	2350	395
856	2352	392
857	2353	389
858	2355	386
859	2356	383
860	2358	380
861	2359	377
862	2360	374
863	2363	371
864	2364	369
865	2366	366
866	2368	363
867	2369	360
868	2371	357
869	2372	354
870	2373	351
871	2374	348
872	2377	345
873	2379	342
874	2380	340
875	2382	337
876	2384	334
877	2385	331
878	2386	328
879	2387	325
880	2388	322
881	2390	319
882	2393	317
883	2394	314
884	2396	311
885	2397	308
886	2398	305
887	2399	302
888	2400	299
889	2401	296
890	2403	293
891	2404	291
892	2406	288
893	2408	285
894	2409	282
895	2411	279
896	2412	277
897	2413	274
898	2414	271
899	2415	268
900	2416	265
901	2418	262
902	2419	259
903	2422	257
904	2423	254
905	2424	251
906	2425	248
907	2427	245
908	2428	243
909	2429	240
910	2430	237
911	2431	234
912	2433	231
913	2434	229
914	2437	226
915	2438	223
916	2439	220
917	2440	218
918	2441	215
919	2442	212
920	2444	209
921	2445	206
922	2446	204
923	2447	201
924	2448	198
925	2450	195
926	2452	193
927	2454	190
928	2456	187
929	2457	184
930	2458	182
931	2460	179
932	2461	176
933	2463	174
934	2465	171
935	2467	168
936	2469	166
937	2470	163
938	2472	160
939	2473	157
940	2474	155
941	2475	152
942	2476	149
943	2477	146
944	2480	144
945	2482	141
946	2483	138
947	2484	136
948	2485	133
949	2486	130
950	2487	128
951	2489	125
952	2490	122
953	2491	120
954	2492	117
955	2495	114
956	2496	112
957	2498	109
958	2499	106
959	2500	104
960	2501	101
961	2503	98
962	2504	96
963	2505	93
964	2506	90
965	2507	88
966	2510	85
967	2511	83
968	2513	80
969	2514	77
970	2515	75
971	2516	72
972	2517	69
973	2518	67
974	2519	64
975	2521	61
976	2522	59
977	2524	56
978	2526	54
979	2527	51
980	2528	48
981	2530	46
982	2531	43
983	2533	41
984	2534	38
985	2535	35
986	2536	33
987	2537	30
988	2540	28
989	2542	25
990	2544	23
991	2545	20
992	2546	17
993	2548	15
994	2549	12
995	2550	10
996	2551	7
997	2554	5
998	2556	2
999	2558	0
